Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV026,1/23/2018 6:15,1/23/2018 7:45,17.062,0.592,0.9,1.492,75.5,45.5,30,43.652,47.48,,
EV026,1/22/2018 18:36,1/22/2018 19:37,10.436,0.367,0.65,1.017,89.5,81.5,8,21.387,51.08,,
EV026,1/22/2018 14:30,1/22/2018 15:53,12.666,0.564,0.817,1.381,65,50,15,29.38,57.2,,
EV026,1/19/2018 13:10,1/19/2018 14:22,11.703,0.517,0.686,1.203,97.5,65,32.5,27.237,61.88,,
EV026,1/18/2018 17:25,1/18/2018 18:36,10.413,0.494,0.689,1.183,99.5,67.5,32,19.446,54.68,,
EV026,1/18/2018 13:10,1/18/2018 14:25,11.53,0.469,0.778,1.247,99,87.5,11.5,23.401,58.28,,
EV026,1/18/2018 12:06,1/18/2018 12:56,10.341,0.183,0.65,0.833,100,80,20,21.25,56.84,,
EV026,1/17/2018 18:41,1/17/2018 19:35,11.05,0.264,0.639,0.903,88,83,5,20.637,53.6,,
EV026,1/17/2018 14:10,1/17/2018 15:35,14.986,0.453,0.961,1.414,92.5,75.5,17,31.943,55.4,,
EV026,1/12/2018 14:30,1/12/2018 16:30,16.485,0.986,1.011,1.997,83,89,-6,31.389,53.6,,
EV026,1/12/2018 12:30,1/12/2018 13:48,10.213,0.592,0.703,1.294,60,53,7,24.238,52.88,,
EV026,1/12/2018 6:20,1/12/2018 7:45,12.626,0.811,0.606,1.417,,49.5,-49.5,29.012,39.2,,
EV026,1/11/2018 19:20,1/11/2018 20:25,13.375,0.269,0.811,1.081,99,52.5,46.5,25.429,53.24,,
EV026,1/11/2018 18:10,1/11/2018 19:05,11.481,0.242,0.667,0.908,76.5,45.5,31,21.004,55.76,,
EV026,1/10/2018 20:00,1/10/2018 21:13,14.488,0.378,0.839,1.217,59.5,77.5,-18,26.207,54.68,,
EV026,1/10/2018 17:13,1/10/2018 19:00,18.991,0.664,1.119,1.783,100,47,53,36.609,56.84,,
